word,phonetics,origin,definition,partOfSpeech
lepidopterological,ˌle-pə-ˌdäp-tə-ˈrä-lə-jē,,a branch of entomology concerned with lepidopterans,noun
perceptivenesses,pər-ˈsep-tiv,,responsive to sensory stimuli : discerning; capable of or exhibiting keen perception : observant; characterized by sympathetic understanding or insight,adjective
reincorporations,(ˌ)rē-in-ˈkȯr-pə-ˌrāt,,to incorporate again: such as; to form or cause (something or someone) to form a corporation again; to become part of or cause (someone or something) to become part of a group or whole again; also : to blend or combine again,verb
ecophysiological,ˌē-kō-ˌfi-zē-ˈä-lə-jē,,the science of the interrelationships between the physiology of organisms and their environment,noun
dispassionateness,(ˌ)dis-ˈpa-sh(ə-)nət,,not influenced by strong feeling; especially : not affected by personal or emotional involvement,adjective
biomathematician,ˌbī-ō-ˌma-thə-ˈma-tiks,,mathematics of special use in biology and medicine,noun
electroretinography,i-ˌlek-trō-ˈre-tə-nə-ˌgraf,,an instrument for recording electrical activity in the retina,noun
biopharmaceutical,ˌbī-ō-ˌfär-mə-ˈsü-ti-kəl,,a pharmaceutical derived from biological sources and especially one produced by biotechnology,noun
denaturalization,(ˌ)dē-ˈna-ch(ə-)rə-ˌlīz,,to make unnatural; to deprive of the rights and duties of a citizen,verb
intergovernmental,ˌin-tər-ˌgə-vər(n)-ˈmen-tᵊl,,existing or occurring between two or more governments or levels of government,adjective
intellectualisms,ˌin-tə-ˈlek-chə-wə-ˌli-zəm,,devotion to the exercise of intellect or to intellectual pursuits,noun
electromagnetism,i-ˌlek-trō-ˈmag-nə-ˌti-zəm,,"magnetism developed by a current of electricity; a fundamental physical force that is responsible for interactions between charged particles which occur because of their charge and for the emission and absorption of photons, that is about a hundredth the strength of the strong force, and that extends over infinite distances but is dominant over atomic and molecular distances —called also electromagnetic force; a branch of physical science that deals with the physical relations between electricity and magnetism",noun
indistinguishability,ˌin-di-ˈstiŋ-gwi-shə-bəl,,not distinguishable: such as; lacking identifying or individualizing qualities; not clearly recognizable or understandable,adjective
microdensitometries,ˈmī-krō-ˌden(t)-sə-ˈtä-mə-tər,,a densitometer for measuring the densities of microscopic areas,noun
spectrofluorometric,ˈspek-(ˌ)trō-ˌflu̇-ˈrä-mə-tər,,a device for measuring and recording fluorescence spectra,noun
transnationalism,(ˌ)tran(t)s-ˈnash-nəl,,extending or going beyond national boundaries,adjective
contraindications,ˌkän-trə-ˌin-də-ˈkā-shən,,something (such as a symptom or condition) that makes a particular treatment or procedure inadvisable,noun
hyper-aggressive,ˌhī-pər-ə-ˈgre-siv,,extremely or excessively aggressive,adjective
transcendentalisms,ˌtran(t)-ˌsen-ˈden-tə-ˌli-zəm,,a philosophy that emphasizes the a priori conditions of knowledge and experience or the unknowable character of ultimate reality or that emphasizes the transcendent as the fundamental reality; a philosophy that asserts the primacy of the spiritual and transcendental over the material and empirical; the quality or state of being transcendental; especially : visionary idealism,noun
neuroendocrinologist,ˌnu̇r-ō-ˌen-də-kri-ˈnä-lə-jē,,a branch of the life sciences dealing with neurosecretion and the physiological interaction between the central nervous system and the endocrine system,noun
overindustrialized,ˌō-vər-in-ˈdə-strē-ə-ˌlīz,,to industrialize (something) to an excessive degree,verb
hyperintelligent,ˌhī-pər-in-ˈte-lə-jənt,,extremely intelligent,adjective
transubstantiations,ˌtran(t)-səb-ˌstan(t)-shē-ˈā-shən,,the miraculous change by which according to Roman Catholic and Eastern Orthodox dogma the eucharistic elements at their consecration become the body and blood of Christ while keeping only the appearances of bread and wine; an act or instance of transubstantiating or being transubstantiated,noun
hyper-aggressiveness,ˌhī-pər-ə-ˈgre-siv,,extremely or excessively aggressive,adjective
counterstatement,ˌkau̇n-tər-ˈstāt-mənt,,a statement opposing or denying another statement,noun
counterprogrammings,ˌkau̇n-tər-ˈprō-ˌgra-miŋ,,the scheduling of programs by television networks so as to attract audiences away from simultaneously telecast programs of competitors,noun
quadricentennial,ˌkwä-drə-sen-ˈte-nē-əl,,a 400th anniversary or its celebration,noun
postmillenarianism,ˌpōs(t)-ˌmi-lə-ˈner-ē-ə-ˌni-zəm,,postmillennialism,noun
nonphilosophical,ˌnän-ˌfi-lə-ˈsä-fi-kəl,,not philosophical,adjective
farsightednesses,ˈfär-ˌsī-təd-nəs,,the quality or state of being farsighted : the ability to anticipate and plan for the future; a condition in which visual images come to a focus behind the retina of the eye and vision is better for distant than for near objects : hyperopia,noun
photomicrography,ˌfō-tə-ˈmī-krə-ˌgraf,,a photograph of a microscope image,noun
nondenominational,ˌnän-di-ˌnä-mə-ˈnā-shnəl,,not restricted to a denomination : not denominational,adjective
noninterferences,ˌnän-ˌin-tər-ˈfir-ən(t)s,,a lack of interference,noun
misinterpretations,ˌmi-sᵊn-ˌtər-prə-ˈtā-shən,,failure to understand or interpret something correctly : a mistaken interpretation,noun
nonchronological,ˌnän-ˌkrä-nə-ˈlä-ji-kəl,,"not of, relating to, or arranged according to the order of time : not chronological",adjective
counterreformations,ˌkau̇n-tər-ˌre-fər-ˈmā-shən,,the reform movement in the Roman Catholic Church following the Reformation; a reformation designed to counter the effects of a previous reformation,noun
sentimentalizations,ˌsen-tə-ˈmen-tə-ˌlīz,,to indulge in sentiment; to look upon or imbue with sentiment,verb
anti-conservationist,ˌan-tē-ˌkän(t)-sər-ˈvā-shən,,opposing or hostile toward policies or practices intended to promote conservation of natural resources,adjective
counterprotesters,ˈkau̇n-tər-ˌprō-ˌtest,,a protest staged to counter or oppose another protest,noun
unscientifically,ˌən-ˌsī-ən-ˈti-fik,,not scientific : not based on or exhibiting scientific knowledge or scientific methodology : not in accord with the principles and methods of science,adjective
nonrepresentationalism,ˌnän-ˌre-pri-ˌzen-ˈtā-shnəl,,nonobjective,adjective
geochronological,ˌjē-ō-krə-ˈnä-lə-jē,,the chronology of the past as indicated by geologic data; the study of geochronology,noun
stereomicroscope,ˌster-ē-ō-ˈmī-krə-ˌskōp,,a microscope having a set of optics for each eye to make an object appear in three dimensions,noun
uncompetitivenesses,ˌən-kəm-ˈpe-tə-tiv,,not competitive : unable to compete,adjective
inconceivableness,ˌin-kən-ˈsē-və-bəl,,not conceivable: such as; unbelievable; impossible to comprehend,adjective
counteraggression,ˌkau̇n-tər-ə-ˈgre-shən,,"[""an act of aggression (such as an attack) that is undertaken in response to another's aggression; also : the practice of undertaking such acts""]",noun
intercalibration,ˌin-tər-ˌka-lə-ˈbrā-shən,,calibration between two or more instruments or sets of data,noun
counter-government,ˌkau̇n-tər-ˈgə-vər(n)-mənt,,a group of people that organizes as an unofficial governing authority to oppose or supplant a legitimate or generally recognized government,noun
transcendentalism,ˌtran(t)-ˌsen-ˈden-tə-ˌli-zəm,,a philosophy that emphasizes the a priori conditions of knowledge and experience or the unknowable character of ultimate reality or that emphasizes the transcendent as the fundamental reality; a philosophy that asserts the primacy of the spiritual and transcendental over the material and empirical; the quality or state of being transcendental; especially : visionary idealism,noun
defamiliarization,(ˌ)dē-fə-ˈmil-yə-ˌrīz,,to present or render in an unfamiliar artistic form usually to stimulate fresh perception,verb
demilitarization,(ˌ)dē-ˈmi-lə-tə-ˌrīz,,"to do away with the military organization or potential of; to prohibit (something, such as a zone or frontier area) from being used for military purposes; to rid of military characteristics or uses",verb
unscrupulousness,ˌən-ˈskrü-pyə-ləs,,not scrupulous : unprincipled,adjective
dehydrochlorinated,(ˌ)dē-ˌhī-drə-ˌklȯr-ə-ˈnā-shən,,the process of removing hydrogen and chlorine or hydrogen chloride from a compound,noun
representationalists,ˌre-pri-ˌzen-ˈtā-shnə-ˌli-zəm,,the doctrine that the immediate object of knowledge is an idea in the mind distinct from the external object which is the occasion of perception; the theory or practice of realistic representation in art,noun
counter-mobilization,ˌkau̇n-tər-ˌmō-bə-lə-ˈzā-shən,,a mobilization in opposition to something,noun
counterinstitutions,ˌkau̇n-tər-ˌin(t)-stə-ˈtü-shən,,an institution formed to oppose or counteract another institution,noun
undeniablenesses,ˌən-di-ˈnī-ə-bəl,,plainly true : incontestable; unquestionably excellent or genuine,adjective
indistinguishablenesses,ˌin-di-ˈstiŋ-gwi-shə-bəl,,not distinguishable: such as; lacking identifying or individualizing qualities; not clearly recognizable or understandable,adjective
maladministrations,ˌma-ləd-ˌmi-nə-ˈstrā-shən,,corrupt or incompetent administration (as of a public office); incorrect administration (as of a drug),noun
anti-technological,ˌan-tē-ˌtek-nə-ˈlä-ji-kəl,,anti-technology,adjective
dishonorableness,(ˌ)dis-ˈä-nə-rə-bəl,,lacking honor : shameful; not honored,adjective
dendrochronologically,ˌden-(ˌ)drō-krə-ˈnä-lə-jē,,the science of dating events and variations in environment in former periods by comparative study of growth rings in trees and aged wood,noun
counter-argument,ˌkau̇n-tər-ˈär-gyə-mənt,,an opposing argument,noun
psychophysiological,ˌsī-kō-ˌfi-zē-ə-ˈlä-ji-kəl,,of or relating to physiological psychology; combining or involving mental and bodily processes,adjective
overaggressiveness,ˌō-vər-ə-ˈgre-siv,,excessively aggressive,adjective
intertranslatabilities,ˌin-tər-tran(t)s-ˈlā-tə-bəl,,able to be translated to and from one another,adjective
countergovernment,ˌkau̇n-tər-ˈgə-vər(n)-mənt,,a group of people that organizes as an unofficial governing authority to oppose or supplant a legitimate or generally recognized government,noun
overclassification,ˌō-vər-ˈkla-sə-ˌfī,,"to classify (something or someone) to an excessive degree: such as; to divide (someone or something) into too many or unnecessary classes; also : to include too many or too much of (someone or something) in a class; to make (something, such as information or documents) classified unnecessarily",verb
intellectualization,ˌin-tə-ˈlek-chə-wə-ˌlīz,,to give rational form or content to,verb
countertradition,ˌkau̇n-tər-trə-ˈdi-shən,,a tradition that differs from or opposes another tradition,noun
electrodeposited,,,"to deposit (a substance, such as a metal or rubber) by electrolysis",verb
inappreciatively,ˌi-nə-ˈprē-shə-tiv,,not appreciative,adjective
phenylethylamines,ˌfe-nᵊl-ˌe-thəl-ˈa-ˌmēn,,a neurotransmitter C8H11N that is an amine resembling amphetamine in structure and pharmacological properties; also : any of its derivatives,noun
desanctification,(ˌ)dē-ˈsaŋ(k)-tə-ˌfī,,desacralize,verb
sociolinguistics,ˌsō-sē-ō-liŋ-ˈgwi-stiks,,the study of linguistic behavior as determined by sociocultural factors,noun
contradistinction,ˌkän-trə-di-ˈstiŋ(k)-shən,,distinction by means of contrast,noun
hydroxytryptamines,hī-ˌdräk-sē-ˈtrip-tə-ˌmēn,,serotonin —usually preceded by the numeral 5,noun
over-zealousness,ˌō-vər-ˈze-ləs,,"too zealous : having or showing too much zeal : excessively eager, enthusiastic, or fervent",adjective
anti-environmentalists,ˌan-tē-in-ˌvī-rə(n)-ˈmen-tə-ˌli-zəm,,opposition to environmentalism,noun
overintellectualizations,ˌō-vər-ˌin-tə-ˈlek-chə-wə-ˌlīz,,to intellectualize (something) to an excessive degree,verb
postencephalitic,ˌpōst-in-ˌse-fə-ˈli-tik,,occurring after and especially as a result of encephalitis,adjective
microelectromechanical,ˌmī-krō-i-ˌlek-trō-mə-ˈka-ni-kəl,,composed of microscopic electronic and mechanical elements,adjective
perchloroethylenes,(ˌ)pər-ˌklȯr-ō-ˈe-thə-ˌlēn,,a colorless nonflammable toxic liquid C2Cl4 used often as a solvent in dry cleaning and for removal of grease from metals,noun
nondestructivenesses,ˌnän-di-ˈstrək-tiv,,not destructive; specifically : not causing destruction of material being investigated or treated,adjective
readministration,(ˌ)rē-əd-ˈmi-nə-stər,,to administer (something) again,verb
otolaryngologist,ˌō-tō-ˌler-ən-ˈgä-lə-jist,,a physician specializing in otolaryngology —called also otorhinolaryngologist,noun
counter-institution,ˌkau̇n-tər-ˌin(t)-stə-ˈtü-shən,,an institution formed to oppose or counteract another institution,noun
programmatically,ˌprō-grə-ˈma-tik,,"relating to program music; of, relating to, resembling, or having a program",adjective
incorruptibility,ˌin-kə-ˈrəp-tə-bəl,,incapable of corruption: such as; incapable of being bribed or morally corrupted; not subject to decay or dissolution,adjective
internationalist,ˌin-tər-ˈna-sh(ə-)nə-ˌli-zəm,,"international character, principles, interests, or outlook; a policy of cooperation among nations; an attitude or belief favoring such a policy",noun
